west-virginia HOMEWINOVER towson 2 
byu AWAYWINOVER texas 2 
utah-st HOMEWINOVER idaho-st 2 
houston HOMEWINOVER grambling 2 
unlv HOMEWINOVER northern-colo 2 
boise-st HOMEWINOVER colorado-st 2 
wyoming HOMEWINOVER air-force 2 
oregon-st AWAYWINOVER hawaii 2 
texas-tech AWAYWINOVER utep 2 
byu HOMEWINOVER houston 3 
louisiana-tech AWAYWINOVER north-texas 3 
baylor AWAYWINOVER buffalo 3 
cincinnati HOMEWINOVER toledo 3 
florida HOMEWINOVER kentucky 3 
oregon HOMEWINOVER wyoming 3 
alabama HOMEWINOVER southern-miss 3 
oklahoma HOMEWINOVER tennessee 3 
south-carolina HOMEWINOVER georgia 3 
texas-am HOMEWINOVER rice 3 
boston-college HOMEWINOVER southern-california 3 
lsu HOMEWINOVER la-monroe 3 
notre-dame HOMEWINOVER purdue 3 
ucla AWAYWINOVER texas 3 
ole-miss HOMEWINOVER la-lafayette 3 
stanford HOMEWINOVER army 3 
arizona-st AWAYWINOVER colorado 3 
east-carolina AWAYWINOVER virginia-tech 3 
missouri HOMEWINOVER ucf 3 
virginia HOMEWINOVER louisville 3 
ohio-st HOMEWINOVER kent-st 3 
hawaii HOMEWINOVER uni 3 
syracuse AWAYWINOVER central-mich 3 
vanderbilt HOMEWINOVER massachusetts 3 
west-virginia AWAYWINOVER maryland 3 
georgia-tech HOMEWINOVER ga-southern 3 
pittsburgh AWAYWINOVER fiu 3 
marshall HOMEWINOVER ohio 3 
boise-st AWAYWINOVER uconn 3 
bowling-green HOMEWINOVER indiana 3 
air-force AWAYWINOVER georgia-st 3 
colorado-st HOMEWINOVER uc-davis 3 
indiana-st AWAYWINOVER ball-st 3 
arkansas AWAYWINOVER texas-tech 3 
duke HOMEWINOVER kansas 3 
miami-fl HOMEWINOVER arkansas-st 3 
north-carolina-st AWAYWINOVER south-fla 3 
michigan HOMEWINOVER miami-oh 3 
iowa-st AWAYWINOVER iowa 3 
uab HOMEWINOVER alabama-am 3 
mississippi-st AWAYWINOVER south-ala 3 
washington HOMEWINOVER illinois 3 
tcu HOMEWINOVER minnesota 3 
western-mich AWAYWINOVER idaho 3 
old-dominion HOMEWINOVER eastern-mich 3 
utah-st HOMEWINOVER wake-forest 3 
oklahoma-st HOMEWINOVER utsa 3 
middle-tenn HOMEWINOVER western-ky 3 
fla-atlantic HOMEWINOVER tulsa 3 
northern-ill AWAYWINOVER unlv 3 
abilene-christian AWAYWINOVER troy 3 
washington-st HOMEWINOVER portland-st 3 
penn-st AWAYWINOVER rutgers 3 
navy AWAYWINOVER texas-st 3 
utep HOMEWINOVER new-mexico-st 3 
tulane HOMEWINOVER southeastern-la 3 
nebraska AWAYWINOVER fresno-st 3 
arizona HOMEWINOVER nevada 3 
auburn AWAYWINOVER kansas-st 4 
south-fla HOMEWINOVER uconn 4 
florida-st HOMEWINOVER clemson 4 
oregon AWAYWINOVER washington-st 4 
alabama HOMEWINOVER florida 4 
oklahoma AWAYWINOVER west-virginia 4 
texas-am AWAYWINOVER smu 4 
mississippi-st AWAYWINOVER lsu 4 
michigan-st HOMEWINOVER eastern-mich 4 
georgia HOMEWINOVER troy 4 
south-carolina AWAYWINOVER vanderbilt 4 
indiana AWAYWINOVER missouri 4 
wisconsin HOMEWINOVER bowling-green 4 
byu HOMEWINOVER virginia 4 
nebraska HOMEWINOVER miami-fl 4 
georgia-tech AWAYWINOVER virginia-tech 4 
purdue HOMEWINOVER southern-ill 4 
northwestern HOMEWINOVER western-ill 4 
iowa AWAYWINOVER pittsburgh 4 
old-dominion AWAYWINOVER rice 4 
maryland AWAYWINOVER syracuse 4 
duke HOMEWINOVER tulane 4 
boston-college HOMEWINOVER maine 4 
temple HOMEWINOVER delaware-st 4 
marshall AWAYWINOVER akron 4 
